mvalorarriendo,mareac,mnrocuartos,mnrobanos,mnrogarajes,mzona_nombre
1800000,45.0,1.0,1.0,1.0,Noroccidente
970000,78.0,3.0,2.0,1.0,Suroccidente
900000,32.0,1.0,1.0,0.0,Noroccidente
1050000,36.0,1.0,1.0,1.0,Noroccidente
1300000,94.0,3.0,2.0,0.0,Noroccidente
2000000,110.0,2.0,2.0,1.0,Noroccidente
2500000,121.0,3.0,3.0,1.0,Noroccidente
900000,56.0,3.0,2.0,0.0,Suroccidente
1200000,75.0,3.0,2.0,1.0,Noroccidente
850000,50.0,2.0,1.0,0.0,Suroccidente
1400000,80.0,3.0,2.0,1.0,Noroccidente
1400000,90.0,2.0,2.0,0.0,Noroccidente
1500000,67.0,2.0,2.0,1.0,Noroccidente
1450000,69.0,3.0,2.0,1.0,Suroccidente
1550000,67.0,2.0,1.0,0.0,Noroccidente
900000,74.0,3.0,3.0,0.0,Noroccidente
1450000,78.0,3.0,2.0,0.0,Noroccidente
1300000,65.0,1.0,1.0,1.0,Noroccidente
1250000,77.0,3.0,2.0,0.0,Noroccidente
1250000,77.0,3.0,2.0,0.0,Noroccidente
1100000,83.0,3.0,2.0,0.0,Noroccidente
2300000,89.0,2.0,3.0,0.0,Noroccidente
1150000,90.0,3.0,2.0,1.0,Noroccidente
2200000,175.0,3.0,4.0,2.0,Noroccidente
800000,90.0,1.0,1.0,0.0,Noroccidente
800000,56.0,2.0,2.0,0.0,Suroccidente
1500000,39.0,1.0,1.0,0.0,Noroccidente
1300000,17.0,1.0,1.0,0.0,Noroccidente
1500000,82.0,2.0,3.0,1.0,Noroccidente
850000,71.0,2.0,2.0,0.0,Suroccidente
1420000,122.0,3.0,3.0,1.0,Noroccidente
1500000,36.0,1.0,1.0,1.0,Noroccidente
1800000,116.0,3.0,3.0,1.0,Noroccidente
1130000,86.0,3.0,1.0,1.0,Suroccidente
1400000,80.0,3.0,2.0,1.0,Noroccidente
910000,70.0,4.0,3.0,0.0,Suroccidente
2000000,52.0,1.0,2.0,1.0,Noroccidente
1700000,92.0,2.0,2.0,1.0,Noroccidente
1216000,72.0,3.0,2.0,1.0,Noroccidente
1450000,54.0,1.0,2.0,1.0,Noroccidente
2000000,95.0,2.0,2.0,1.0,Noroccidente
850000,60.0,2.0,2.0,1.0,Suroccidente
849000,80.0,3.0,2.0,1.0,Suroccidente
3500000,176.0,4.0,1.0,0.0,Noroccidente
800000,69.0,2.0,2.0,1.0,Suroccidente
1500000,91.0,2.0,2.0,0.0,Noroccidente
1300000,102.0,3.0,2.0,1.0,Noroccidente
1450000,42.0,1.0,1.0,1.0,Noroccidente
2300000,69.0,3.0,2.0,1.0,Noroccidente
4000000,150.0,2.0,3.0,2.0,Noroccidente
700000,52.0,3.0,2.0,0.0,Suroccidente
1400000,85.0,3.0,2.0,1.0,Suroccidente
1050000,75.0,2.0,1.0,1.0,Suroccidente
1050000,68.0,3.0,2.0,1.0,Noroccidente
900000,77.0,3.0,3.0,0.0,Suroccidente
900000,78.0,2.0,2.0,0.0,Suroccidente
1660063,86.0,3.0,2.0,1.0,Noroccidente
850000,51.0,2.0,2.0,0.0,Suroccidente
1300000,64.0,3.0,2.0,1.0,Otros
2700000,107.0,3.0,2.0,1.0,Noroccidente
4500000,337.0,3.0,4.0,3.0,Noroccidente
1000000,40.0,1.0,2.0,1.0,Noroccidente
1000000,51.0,1.0,1.0,1.0,Suroccidente
1338000,74.0,3.0,2.0,1.0,Noroccidente
1350000,78.0,3.0,2.0,1.0,Noroccidente
680000,74.0,2.0,1.0,0.0,Suroccidente
1350000,64.0,1.0,1.0,1.0,Noroccidente
1500000,75.0,1.0,1.0,1.0,Noroccidente
1500000,95.0,3.0,3.0,1.0,Noroccidente
800000,38.0,1.0,1.0,1.0,Noroccidente
850000,74.0,3.0,2.0,1.0,Noroccidente
1300000,169.0,2.0,3.0,1.0,Noroccidente
900000,43.0,2.0,1.0,0.0,Noroccidente
1600000,81.0,2.0,3.0,1.0,Noroccidente
1500000,82.0,3.0,2.0,1.0,Suroccidente
1250000,70.0,3.0,3.0,0.0,Suroccidente
1400000,64.0,3.0,2.0,1.0,Noroccidente
1460000,70.0,3.0,2.0,1.0,Noroccidente
1200000,65.0,3.0,2.0,0.0,Suroccidente
1300000,84.0,3.0,2.0,0.0,Noroccidente
1600000,93.0,1.0,3.0,1.0,Noroccidente
750000,40.0,1.0,1.0,0.0,Suroccidente
1500000,75.0,2.0,2.0,0.0,Noroccidente
750000,40.0,1.0,1.0,0.0,Suroccidente
1200000,71.0,3.0,2.0,1.0,Noroccidente
900000,48.0,1.0,1.0,0.0,Noroccidente
1000000,90.0,2.0,1.0,0.0,Suroccidente
1444000,96.0,3.0,2.0,1.0,Noroccidente
870000,60.0,2.0,1.0,1.0,Suroccidente
700000,46.0,1.0,1.0,0.0,Suroccidente
1200000,67.0,3.0,2.0,1.0,Noroccidente
950000,75.0,3.0,2.0,1.0,Suroccidente
1550000,90.0,2.0,2.0,1.0,Noroccidente
1444000,96.0,3.0,2.0,1.0,Noroccidente
2188000,68.0,2.0,2.0,1.0,Noroccidente
2109000,108.0,2.0,2.0,1.0,Noroccidente
750000,60.0,1.0,1.0,1.0,Noroccidente
1120000,94.0,3.0,2.0,1.0,Suroccidente
1090000,61.0,3.0,2.0,1.0,Noroccidente
790000,34.0,2.0,1.0,0.0,Noroccidente
800000,30.0,1.0,1.0,0.0,Noroccidente
400000,25.0,1.0,1.0,0.0,Suroccidente
413000,25.0,1.0,1.0,0.0,Suroccidente
1300000,110.0,3.0,3.0,1.0,Noroccidente
730000,80.0,2.0,2.0,0.0,Suroccidente
1300000,72.0,2.0,2.0,1.0,Suroccidente
620000,25.0,1.0,1.0,0.0,Suroccidente
1500000,69.0,1.0,2.0,1.0,Noroccidente
1250000,101.0,2.0,2.0,1.0,Noroccidente
1170000,75.0,3.0,2.0,1.0,Suroccidente
1500000,74.0,3.0,2.0,0.0,Suroccidente
1290000,109.0,3.0,2.0,1.0,Noroccidente
1200000,150.0,3.0,2.0,1.0,Noroccidente
1300000,79.0,2.0,2.0,0.0,Suroccidente
2300000,121.0,3.0,3.0,2.0,Noroccidente
1750000,114.0,3.0,3.0,1.0,Noroccidente
597000,53.0,3.0,2.0,0.0,Suroccidente
1300000,78.0,3.0,2.0,1.0,Noroccidente
800000,49.0,1.0,1.0,1.0,Noroccidente
1060000,45.0,1.0,1.0,1.0,Noroccidente
1650000,90.0,2.0,2.0,0.0,Noroccidente
1350000,51.0,1.0,1.0,1.0,Noroccidente
900000,129.0,2.0,1.0,0.0,Noroccidente
1200000,65.0,3.0,2.0,0.0,Otros
1000000,53.0,2.0,2.0,0.0,Noroccidente
1500000,68.0,2.0,2.0,1.0,Noroccidente
800000,71.0,3.0,2.0,0.0,Suroccidente
750000,50.0,1.0,1.0,0.0,Suroccidente
1135000,74.0,2.0,2.0,1.0,Noroccidente
1000000,53.0,2.0,2.0,0.0,Noroccidente
1296807,68.0,2.0,2.0,0.0,Noroccidente
1250000,50.0,1.0,2.0,1.0,Noroccidente
1582000,94.0,2.0,2.0,0.0,Noroccidente
1187000,80.0,3.0,2.0,1.0,Noroccidente
1050000,70.0,2.0,2.0,1.0,Suroccidente
1000000,70.0,2.0,2.0,1.0,Noroccidente
1350000,117.0,3.0,3.0,1.0,Noroccidente
1100000,74.0,3.0,2.0,1.0,Noroccidente
1300000,182.0,3.0,2.0,2.0,Noroccidente
1174000,76.0,2.0,2.0,1.0,Noroccidente
1450000,85.0,3.0,2.0,1.0,Noroccidente
1600000,86.0,3.0,3.0,1.0,Noroccidente
1600000,76.0,2.0,2.0,2.0,Noroccidente
1700000,74.0,2.0,2.0,1.0,Noroccidente
1400000,82.0,3.0,3.0,1.0,Noroccidente
1500000,95.0,3.0,4.0,1.0,Noroccidente
1200000,45.0,1.0,1.0,1.0,Noroccidente
800000,40.0,1.0,1.0,0.0,Noroccidente
1500000,85.0,2.0,3.0,1.0,Noroccidente
1000000,80.0,2.0,1.0,0.0,Suroccidente
850000,38.0,1.0,1.0,1.0,Noroccidente
1136000,73.0,2.0,2.0,1.0,Noroccidente
1150000,83.0,3.0,2.0,0.0,Noroccidente
1000000,35.0,1.0,1.0,0.0,Noroccidente
1000000,95.0,3.0,2.0,0.0,Noroccidente
2102000,108.0,3.0,3.0,1.0,Noroccidente
950000,50.0,2.0,1.0,0.0,Noroccidente
1400000,70.0,2.0,2.0,0.0,Noroccidente
900000,40.0,1.0,1.0,0.0,Noroccidente
1750000,75.0,1.0,2.0,1.0,Noroccidente
1400000,63.0,3.0,2.0,1.0,Noroccidente
780000,62.0,2.0,2.0,0.0,Suroccidente
